id,courseId,deviceId,createdAt,updatedAt
cmceq6lv3000vkl9pa1r64uaw,cmce184y10004nka2p0xhn0nm,cmcek5v2h0001eoxyqjcg4dvt,2025-06-27 11:25:02,2025-06-27 11:25:02
cmceq6lv3000wkl9pris23c5b,cmcemvsf0000hkl9p0ldvhbcj,cmcek5v2h0001eoxyqjcg4dvt,2025-06-27 11:25:02,2025-06-27 11:25:02
