id,courseId,studentId,status,createdAt
cmce184yt0006nka2eu5jc931,cmce184y10004nka2p0xhn0nm,cmce184u70000nka24vsghxgp,ENROLLED,2025-06-26 23:46:23
cmcent4b3000lkl9pvrph1kaa,cmce184y10004nka2p0xhn0nm,cmcemgm7h000akl9pwmwrun08,ENROLLED,2025-06-27 10:18:34
cmcent4qn000nkl9pkjw34upj,cmcemvsf0000hkl9p0ldvhbcj,cmcemgm7h000akl9pwmwrun08,ENROLLED,2025-06-27 10:18:34
cmcf78wap0008wxghentez3ez,cmce184y10004nka2p0xhn0nm,cmcf75r6g0000wxghqplake8k,ENROLLED,2025-06-27 19:22:43
cmcf78y1d000awxgh29nunk46,cmcemvsf0000hkl9p0ldvhbcj,cmcf75r6g0000wxghqplake8k,ENROLLED,2025-06-27 19:22:45
