id,deviceId,type,parameters,status,createdAt,sentAt,completedAt,result
cmcekav7p0005eoxyih190nkj,UNILORIN_AMS_1,enroll_fingerprint,"{""userId"":""cmce184u70000nka24vsghxgp"",""timeout"":30000}",PROCESSED,1751013623941,,1751679594128,
cmcekecv50007eoxykiv310iz,UNILORIN_AMS_1,enroll_fingerprint,"{""userId"":""cmce184u70000nka24vsghxgp"",""timeout"":30000}",PROCESSED,1751013786786,,1751679594128,
cmcekh36q0009eoxyqvno0cig,UNILORIN_AMS_1,enroll_fingerprint,"{""userId"":""cmce184u70000nka24vsghxgp"",""timeout"":30000}",PROCESSED,1751013914210,,1751679594128,
