id,name,type,createdAt,updatedAt
cmce184zn0007nka23qzc3lwc,Main Campus,CAMPUS,2025-06-26 23:46:23,2025-06-26 23:46:23
cmcegt92u0000r09gmw7n2p98,ELT,ROOM,2025-06-27 07:02:43,2025-06-27 07:02:43
cmcek5v1g0000eoxygj3maq2q,ELT,ROOM,2025-06-27 08:36:30,2025-06-27 08:36:30
