id,courseId,day,startTime,endTime,venue,createdAt,updatedAt
cmceoj8fl000rkl9plfqhsgk1,cmcemvsf0000hkl9p0ldvhbcj,Thursday,10:00,11:00,CL1,2025-06-27 10:38:52,2025-06-27 10:38:52
cmceoj8fi000pkl9p7s3g65ob,cmcemvsf0000hkl9p0ldvhbcj,Wednesday,09:00,11:00,CL2,2025-06-27 10:38:52,2025-06-27 10:38:52
